slug,audio_identity,lyrics_match,page_metadata,flags
almost-called,PASS,PASS-MINOR-TRIM(ratio=1.00),PASS,
barefoot-beach-beauty,PASS,PASS-MINOR-TRIM(ratio=1.00),PASS,
bigfoot-lives-here,PASS,N/A,PASS(legacy-album),
booty-boom-boom,PASS,FLAG-NO-LYRICS-SECTION,PASS,
breathe,PASS,PASS-MINOR-TRIM(ratio=0.91),PASS,
broken-heart-and-busted-dreams,PASS,PASS-EXACT,PASS,
brown-eyes-say,PASS,FLAG-NO-LYRICS-SECTION,PASS,
canyon-night-glow,PASS,N/A,PASS,
choke-on-the-wine,PASS,N/A,PASS(legacy-album),
christmas-on-the-beach,PASS,N/A,PASS(legacy-album),
christmas-puppy,PASS,N/A,PASS(legacy-album),
coconut-kiss,PASS,PASS-MINOR-TRIM(ratio=0.98),PASS,
coffee-constellation,PASS,PASS-EXACT,PASS,
cotton-candy,PASS,PASS-MINOR-TRIM(ratio=0.90),PASS,
crack-the-sky,PASS,N/A,PASS(legacy-album),
crackhead-queen,PASS,N/A,PASS(legacy-album),
daddys-eyes,PASS,N/A,PASS(legacy-album),
desert-heartbeat,PASS,N/A,PASS,
desert-night-sine,PASS,N/A,PASS,
dogs-have-never,PASS,N/A,PASS(legacy-album),
dont-be-a-mr-magoo,PASS,N/A,PASS(legacy-album),
dont-cry-at-my-funeral,PASS,N/A,PASS(legacy-album),
down-under,PASS,FLAG-PARTIAL(ratio=0.80),PASS,"page lyrics cover only ~80% of master word-set -- possible truncation, needs CEO review"
drown-in-the-bottle,PASS,FLAG-PARTIAL(ratio=0.77),PASS,"page lyrics cover only ~77% of master word-set -- possible truncation, needs CEO review"
drown-me-in-slobbery-kisses,PASS,N/A,PASS(legacy-album),
drowning-in-my-tears,PASS,PASS-MINOR-TRIM(ratio=0.90),PASS,
emotional-hostage,PASS,PASS-EXACT,PASS,
enchanted-green-haze,PASS,N/A,PASS,
endless-summer-heat,PASS,PASS-VERIFIED-FIXED(ratio=0.98),PASS,
endless-summer,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
favorite-mistake,PASS,N/A,PASS(legacy-album),
fields-of-gold,PASS,N/A,PASS(legacy-album),
fill-me-with-love,PASS,PASS-EXACT,PASS,
